file_path,url,sample_id,ground_truth_validity,qc_remark,qc_comment,Q1,Caste,Age
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_bcd15c14-125b-48b2-a857-8992a52f6a22.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_10-47-30_samples_WIgA6Z2O6U.mp4,bcd15c14-125b-48b2-a857-8992a52f6a22,Valid,Incharge -Rambabu??,Correctly Done,సాగునీరు,Mala,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_45c3ab84-6136-4d54-9601-544bdb5d7c6d.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_11-01-53_samples_ly90HBESLu.mp4,45c3ab84-6136-4d54-9601-544bdb5d7c6d,Valid,Not asking the question as it is in the questionnaire,Correctly Done,సాగునీరు,Settibalija,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_5b87a98e-34d1-4f46-bded-b50856d41691.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_09-06-08_samples_05T440VZk7.mp4,5b87a98e-34d1-4f46-bded-b50856d41691,Valid,0,Correctly Done,కరెంట్,Mala,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_fc0457dc-d165-4b76-99de-99c0cb3953a6.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_09-42-18_samples_XmxhOLnKVA.mp4,fc0457dc-d165-4b76-99de-99c0cb3953a6,Valid,0,Correctly Done,డ్రైనేజి,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_f8124df2-5ce1-40dd-938a-7b7e6403fea9.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_11-11-50_samples_zXAWLUUd8q.mp4,f8124df2-5ce1-40dd-938a-7b7e6403fea9,Valid,Not asking the question as it is in the questionnaire,Correctly Done,డ్రైనేజి,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_d273db79-6799-4a4d-9dbd-98c3a2d7cf60.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_11-25-29_samples_qHtqmrQPeR.mp4,d273db79-6799-4a4d-9dbd-98c3a2d7cf60,Valid,Mentioning that audio is being recorded,Not Doing It Properly,సాగునీరు,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_24cf4387-5dbe-4f83-923c-4b4592d2d9da.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_11-35-53_samples_0sJjoeeTdj.mp4,24cf4387-5dbe-4f83-923c-4b4592d2d9da,Valid,0,Correctly Done,సాగునీరు,Kapu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_ecaf5f75-9df3-4ea2-8bfa-910b54d9e0f3.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_11-48-57_samples_vLJRcX7khX.mp4,ecaf5f75-9df3-4ea2-8bfa-910b54d9e0f3,Valid,0,Correctly Done,సాగునీరు,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_74d97622-615a-40ce-9a5a-89d9c4e89880.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_11-59-57_samples_gohK0oKMAS.mp4,74d97622-615a-40ce-9a5a-89d9c4e89880,Valid,0,Correctly Done,సాగునీరు,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_b90ab7de-fb3d-45c2-9758-69e0c32b5060.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_12-03-54_samples_ZV3ziKAIxz.mp4,b90ab7de-fb3d-45c2-9758-69e0c32b5060,Valid,0,Correctly Done,డ్రైనేజి,Settibalija,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_c6ef925c-63db-427b-8346-991da5797ea8.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_12-19-29_samples_nK3CSFyiSd.mp4,c6ef925c-63db-427b-8346-991da5797ea8,Valid,0,Not Doing It Properly,రోడ్లు,Settibalija,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Not Valid_3525b2cd-d85e-4146-9bd6-67359b72ff72.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_12-24-52_samples_ImrKHASj4v.mp4,3525b2cd-d85e-4146-9bd6-67359b72ff72,Not Valid,0,Not Asking Some of the Questions,త్రాగునీరు,Settibalija,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_e33119d5-b2f6-4982-9c9d-9eb47e167a40.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_12-39-39_samples_RMQsCgNTA2.mp4,e33119d5-b2f6-4982-9c9d-9eb47e167a40,Valid,0,Not Doing It Properly,డ్రైనేజి,Kshatriya/Rajulu,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_f83f01f0-19d4-4a2f-9a09-e25529c56e90.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_12-50-26_samples_e5cCTuYhwH.mp4,f83f01f0-19d4-4a2f-9a09-e25529c56e90,Valid,0,Correctly Done,త్రాగునీరు,Settibalija,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_6c5b3fa9-dfe2-4fe7-b465-4fbcea61208a.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_12-55-24_samples_h9Sof45VHq.mp4,6c5b3fa9-dfe2-4fe7-b465-4fbcea61208a,Valid,0,Correctly Done,త్రాగునీరు,Padmasali/Devanga,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Not Valid_0a778b63-b388-4539-bc76-8aede88a36b6.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_12-59-14_samples_tdv6JRrgof.mp4,0a778b63-b388-4539-bc76-8aede88a36b6,Not Valid,inaudible due to phn ringtone,Audio Not Playing/ Inaudbile,డ్రైనేజి,Rajaka,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_d376b01d-7d2b-4f95-a82a-b75cb84eba1a.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_13-03-26_samples_LdQqSqkQdo.mp4,d376b01d-7d2b-4f95-a82a-b75cb84eba1a,Valid,Highlighted response kept on his own,Not Doing It Properly,కరెంట్,Settibalija,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Not Valid_192b6912-b1c6-4dbd-adb8-4bda9ab9bdc7.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-19_13-18-10_samples_d5PPQNJCVU.mp4,192b6912-b1c6-4dbd-adb8-4bda9ab9bdc7,Not Valid,0,Not Asking Some of the Questions,త్రాగునీరు,Padmasali/Devanga,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_5456a022-c195-4eb0-957e-22c1bc4200fe.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_13-07-18_samples_uieTLvV7Ly.mp4,5456a022-c195-4eb0-957e-22c1bc4200fe,Valid,0,Correctly Done,రోడ్లు,Mala,18-25
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_5a69e06f-ba8d-4ede-a9b2-e3f5e3df33cc.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-09-51_samples_hiOZku2dgR.mp4,5a69e06f-ba8d-4ede-a9b2-e3f5e3df33cc,Valid,"Q1,5 kept his own",Not Doing It Properly,డ్రైనేజి,Kapu,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_b5f4cb27-cb9a-4e72-9b6f-ba64446ebde0.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-23-36_samples_5dPyT1Xt1o.mp4,b5f4cb27-cb9a-4e72-9b6f-ba64446ebde0,Valid,"Q5, 10 kept his own",Not Doing It Properly,సాగునీరు,Mala,60+
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_8e87f86a-4459-4381-93bf-4137d7cd9bd8.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_13-24-41_samples_Gl15vZGwoS.mp4,8e87f86a-4459-4381-93bf-4137d7cd9bd8,Valid,0,Correctly Done,డ్రైనేజి,Mala,26-40
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_e281232b-78a2-4f8d-b43c-b9eb0d86cf31.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-36-04_samples_6BkyM3Rsfk.mp4,e281232b-78a2-4f8d-b43c-b9eb0d86cf31,Valid,0,Correctly Done,త్రాగునీరు,Kapu,41-59
/Users/aierarohit/Desktop/Political Data/audio_samples/Valid_93043258-eaf1-4ac2-97fb-0bb72e79e4f7.mp3,http://164.52.221.216/localmedia/media/surveys/samples/recording_2026-01-20_10-42-01_samples_jDEMjwRm93.mp4,93043258-eaf1-4ac2-97fb-0bb72e79e4f7,Valid,0,Correctly Done,సాగునీరు,Kapu,60+
